지역코드(Location_ID),발송지역(시도),발송지역(시군구),발송지역(읍면동),법정동코드,법정동(시도),법정동(시군구),법정동(읍면동)
2,강원특별자치도,해당 시도 전체,해당 시도 전체,5100000000,강원특별자치도,해당 시도 전체,해당 시도 전체
3,강원특별자치도,강릉시,해당 시군구 전체,5115000000,강원특별자치도,강릉시,해당 시군구 전체
4,강원특별자치도,고성군,해당 시군구 전체,5182000000,강원특별자치도,고성군,해당 시군구 전체
5,강원특별자치도,동해시,해당 시군구 전체,5117000000,강원특별자치도,동해시,해당 시군구 전체
6,강원특별자치도,삼척시,해당 시군구 전체,5123000000,강원특별자치도,삼척시,해당 시군구 전체
7,강원특별자치도,속초시,해당 시군구 전체,5121000000,강원특별자치도,속초시,해당 시군구 전체
8,강원특별자치도,양구군,해당 시군구 전체,5180000000,강원특별자치도,양구군,해당 시군구 전체
9,강원특별자치도,양양군,해당 시군구 전체,5183000000,강원특별자치도,양양군,해당 시군구 전체
10,강원특별자치도,영월군,해당 시군구 전체,5175000000,강원특별자치도,영월군,해당 시군구 전체
11,강원특별자치도,원주시,해당 시군구 전체,5113000000,강원특별자치도,원주시,해당 시군구 전체
12,강원특별자치도,인제군,해당 시군구 전체,5181000000,강원특별자치도,인제군,해당 시군구 전체
13,강원특별자치도,정선군,해당 시군구 전체,5177000000,강원특별자치도,정선군,해당 시군구 전체
14,강원특별자치도,철원군,해당 시군구 전체,5178000000,강원특별자치도,철원군,해당 시군구 전체
15,강원특별자치도,춘천시,해당 시군구 전체,5111000000,강원특별자치도,춘천시,해당 시군구 전체
16,강원특별자치도,태백시,해당 시군구 전체,5119000000,강원특별자치도,태백시,해당 시군구 전체
17,강원특별자치도,평창군,해당 시군구 전체,5176000000,강원특별자치도,평창군,해당 시군구 전체
18,강원특별자치도,홍천군,해당 시군구 전체,5172000000,강원특별자치도,홍천군,해당 시군구 전체
19,강원특별자치도,화천군,해당 시군구 전체,5179000000,강원특별자치도,화천군,해당 시군구 전체
20,강원특별자치도,횡성군,해당 시군구 전체,5173000000,강원특별자치도,횡성군,해당 시군구 전체
21,경기도,해당 시도 전체,해당 시도 전체,4100000000,경기도,해당 시도 전체,해당 시도 전체
22,경기도,가평군,해당 시군구 전체,4182000000,경기도,가평군,해당 시군구 전체
23,경기도,고양시,해당 시군구 전체,4128000000,경기도,고양시,해당 시군구 전체
24,경기도,과천시,해당 시군구 전체,4129000000,경기도,과천시,해당 시군구 전체
25,경기도,광명시,해당 시군구 전체,4121000000,경기도,광명시,해당 시군구 전체
26,경기도,광주시,해당 시군구 전체,4161000000,경기도,광주시,해당 시군구 전체
27,경기도,구리시,해당 시군구 전체,4131000000,경기도,구리시,해당 시군구 전체
28,경기도,군포시,해당 시군구 전체,4141000000,경기도,군포시,해당 시군구 전체
29,경기도,김포시,해당 시군구 전체,4157000000,경기도,김포시,해당 시군구 전체
30,경기도,남양주시,해당 시군구 전체,4136000000,경기도,남양주시,해당 시군구 전체
31,경기도,동두천시,해당 시군구 전체,4125000000,경기도,동두천시,해당 시군구 전체
32,경기도,부천시,해당 시군구 전체,4119000000,경기도,부천시,해당 시군구 전체
33,경기도,성남시,해당 시군구 전체,4113000000,경기도,성남시,해당 시군구 전체
34,경기도,수원시,해당 시군구 전체,4111000000,경기도,수원시,해당 시군구 전체
35,경기도,시흥시,해당 시군구 전체,4139000000,경기도,시흥시,해당 시군구 전체
36,경기도,안산시,해당 시군구 전체,4127000000,경기도,안산시,해당 시군구 전체
37,경기도,안성시,해당 시군구 전체,4155000000,경기도,안성시,해당 시군구 전체
38,경기도,안양시,해당 시군구 전체,4117000000,경기도,안양시,해당 시군구 전체
39,경기도,양주시,해당 시군구 전체,4163000000,경기도,양주시,해당 시군구 전체
40,경기도,양평군,해당 시군구 전체,4183000000,경기도,양평군,해당 시군구 전체
41,경기도,여주시,해당 시군구 전체,4167000000,경기도,여주시,해당 시군구 전체
42,경기도,연천군,해당 시군구 전체,4180000000,경기도,연천군,해당 시군구 전체
43,경기도,오산시,해당 시군구 전체,4137000000,경기도,오산시,해당 시군구 전체
44,경기도,용인시,해당 시군구 전체,4146000000,경기도,용인시,해당 시군구 전체
45,경기도,의왕시,해당 시군구 전체,4143000000,경기도,의왕시,해당 시군구 전체
46,경기도,의정부시,해당 시군구 전체,4115000000,경기도,의정부시,해당 시군구 전체
47,경기도,이천시,해당 시군구 전체,4150000000,경기도,이천시,해당 시군구 전체
48,경기도,파주시,해당 시군구 전체,4148000000,경기도,파주시,해당 시군구 전체
49,경기도,평택시,해당 시군구 전체,4122000000,경기도,평택시,해당 시군구 전체
50,경기도,포천시,해당 시군구 전체,4165000000,경기도,포천시,해당 시군구 전체
51,경기도,하남시,해당 시군구 전체,4145000000,경기도,하남시,해당 시군구 전체
52,경기도,화성시,해당 시군구 전체,4159000000,경기도,화성시,해당 시군구 전체
53,경상남도,해당 시도 전체,해당 시도 전체,4800000000,경상남도,해당 시도 전체,해당 시도 전체
54,경상남도,거제시,해당 시군구 전체,4831000000,경상남도,거제시,해당 시군구 전체
55,경상남도,거창군,해당 시군구 전체,4888000000,경상남도,거창군,해당 시군구 전체
56,경상남도,고성군,해당 시군구 전체,4882000000,경상남도,고성군,해당 시군구 전체
57,경상남도,김해시,해당 시군구 전체,4825000000,경상남도,김해시,해당 시군구 전체
58,경상남도,남해군,해당 시군구 전체,4884000000,경상남도,남해군,해당 시군구 전체
60,경상남도,밀양시,해당 시군구 전체,4827000000,경상남도,밀양시,해당 시군구 전체
61,경상남도,사천시,해당 시군구 전체,4824000000,경상남도,사천시,해당 시군구 전체
62,경상남도,산청군,해당 시군구 전체,4886000000,경상남도,산청군,해당 시군구 전체
63,경상남도,양산시,해당 시군구 전체,4833000000,경상남도,양산시,해당 시군구 전체
64,경상남도,의령군,해당 시군구 전체,4872000000,경상남도,의령군,해당 시군구 전체
65,경상남도,진주시,해당 시군구 전체,4817000000,경상남도,진주시,해당 시군구 전체
67,경상남도,창녕군,해당 시군구 전체,4874000000,경상남도,창녕군,해당 시군구 전체
68,경상남도,창원시,해당 시군구 전체,4812000000,경상남도,창원시,해당 시군구 전체
69,경상남도,통영시,해당 시군구 전체,4822000000,경상남도,통영시,해당 시군구 전체
70,경상남도,하동군,해당 시군구 전체,4885000000,경상남도,하동군,해당 시군구 전체
71,경상남도,함안군,해당 시군구 전체,4873000000,경상남도,함안군,해당 시군구 전체
72,경상남도,함양군,해당 시군구 전체,4887000000,경상남도,함양군,해당 시군구 전체
73,경상남도,합천군,해당 시군구 전체,4889000000,경상남도,합천군,해당 시군구 전체
74,경상북도,해당 시도 전체,해당 시도 전체,4700000000,경상북도,해당 시도 전체,해당 시도 전체
75,경상북도,경산시,해당 시군구 전체,4729000000,경상북도,경산시,해당 시군구 전체
76,경상북도,경주시,해당 시군구 전체,4713000000,경상북도,경주시,해당 시군구 전체
77,경상북도,고령군,해당 시군구 전체,4783000000,경상북도,고령군,해당 시군구 전체
78,경상북도,구미시,해당 시군구 전체,4719000000,경상북도,구미시,해당 시군구 전체
80,경상북도,김천시,해당 시군구 전체,4715000000,경상북도,김천시,해당 시군구 전체
81,경상북도,문경시,해당 시군구 전체,4728000000,경상북도,문경시,해당 시군구 전체
82,경상북도,봉화군,해당 시군구 전체,4792000000,경상북도,봉화군,해당 시군구 전체
83,경상북도,상주시,해당 시군구 전체,4725000000,경상북도,상주시,해당 시군구 전체
84,경상북도,성주군,해당 시군구 전체,4784000000,경상북도,성주군,해당 시군구 전체
85,경상북도,안동시,해당 시군구 전체,4717000000,경상북도,안동시,해당 시군구 전체
86,경상북도,영덕군,해당 시군구 전체,4777000000,경상북도,영덕군,해당 시군구 전체
87,경상북도,영양군,해당 시군구 전체,4776000000,경상북도,영양군,해당 시군구 전체
88,경상북도,영주시,해당 시군구 전체,4721000000,경상북도,영주시,해당 시군구 전체
89,경상북도,영천시,해당 시군구 전체,4723000000,경상북도,영천시,해당 시군구 전체
90,경상북도,예천군,해당 시군구 전체,4790000000,경상북도,예천군,해당 시군구 전체
91,경상북도,울릉군,해당 시군구 전체,4794000000,경상북도,울릉군,해당 시군구 전체
92,경상북도,울진군,해당 시군구 전체,4793000000,경상북도,울진군,해당 시군구 전체
93,경상북도,의성군,해당 시군구 전체,4773000000,경상북도,의성군,해당 시군구 전체
94,경상북도,청도군,해당 시군구 전체,4782000000,경상북도,청도군,해당 시군구 전체
95,경상북도,청송군,해당 시군구 전체,4775000000,경상북도,청송군,해당 시군구 전체
96,경상북도,칠곡군,해당 시군구 전체,4785000000,경상북도,칠곡군,해당 시군구 전체
97,경상북도,포항시,해당 시군구 전체,4711000000,경상북도,포항시,해당 시군구 전체
98,광주광역시,해당 시도 전체,해당 시도 전체,2900000000,광주광역시,해당 시도 전체,해당 시도 전체
99,광주광역시,광산구,해당 시군구 전체,2920000000,광주광역시,광산구,해당 시군구 전체
100,광주광역시,남구,해당 시군구 전체,2915500000,광주광역시,남구,해당 시군구 전체
101,광주광역시,동구,해당 시군구 전체,2911000000,광주광역시,동구,해당 시군구 전체
102,광주광역시,북구,해당 시군구 전체,2917000000,광주광역시,북구,해당 시군구 전체
103,광주광역시,서구,해당 시군구 전체,2914000000,광주광역시,서구,해당 시군구 전체
